,Status,Score,Time,Algorithm,CrossroadsCount
0,win,2410,8.5629808,Expectimax,97
1,win,2500,5.785963899999999,Expectimax,99
2,win,2650,5.505450400000001,Expectimax,96
3,win,2650,8.155086599999997,Expectimax,100
4,win,2690,8.728389100000001,Expectimax,94
5,win,2660,17.57796780000001,Expectimax,99
6,win,2700,38.7942154,Expectimax,105
7,win,2690,31.370468399999996,Expectimax,97
8,win,2670,31.022944800000005,Expectimax,96
9,win,2220,2.992581400000006,Expectimax,97
10,win,2720,11.2522156,Expectimax,109
11,win,1960,3.4234975999999904,Expectimax,106
12,win,2470,3.658145400000024,Expectimax,98
13,win,2590,3.145847300000014,Expectimax,83
14,win,2150,2.754890200000005,Expectimax,99
15,win,1270,1.836106099999995,Expectimax,101
16,win,2300,2.5051622000000293,Expectimax,102
17,win,2030,4.6854368999999565,Expectimax,103
18,win,1760,3.589747799999998,Expectimax,96
19,win,2510,4.137989799999957,Expectimax,94
0,win,2740,1.1278467172367463,Minimax,70
1,lose,2614,4.226413322407762,Minimax,80
2,lose,2488,7.324979927578781,Minimax,90
3,lose,2361,10.423546532749796,Minimax,100
4,lose,2235,13.522113137920815,Minimax,110
5,lose,2108,16.62067974309183,Expectimax,120
