Status,Score,Time,Algorithm,CrossroadsCount
lose,2410,8.5629808,Minimax,97
lose,2500,5.785963899999999,Minimax,99
win,2650,5.505450400000001,Minimax,96
win,2650,8.155086599999997,Minimax,100
win,2690,8.728389100000001,Minimax,94
lose,2660,17.57796780000001,Minimax,99
lose,2700,38.7942154,Minimax,105
win,2690,31.370468399999993,Minimax,97
win,2670,31.022944800000005,Minimax,96
lose,2220,2.992581400000006,Minimax,97
win,2720,11.2522156,Minimax,109
lose,1960,3.4234975999999904,Minimax,106
lose,2470,3.6581454000000235,Expectimax,98
win,2590,3.145847300000014,Expectimax,83
lose,2150,2.7548902000000055,Expectimax,99
lose,1270,1.836106099999995,Expectimax,101
lose,2300,2.5051622000000293,Expectimax,102
lose,2030,4.6854368999999565,Expectimax,103
lose,1760,3.589747799999998,Expectimax,96
lose,2510,4.137989799999957,Expectimax,94
